,subject,filename,sequence,condition,day,adaptation_day,EG,RMSE_ele,SD_ele,RMSE_az,SD_az
103,lk,localization_lk_Earmolds Week 2_1_22.01_1,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,5,0,0.10816770211706558,29.53414222030023,7.59960912275439,6.318928043283447,3.1431631827546966
104,lk,localization_lk_Earmolds Week 2_2_23.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,6,1,0.13994246258189022,27.483185487918284,6.8649807906493825,5.403439986119614,2.389630393861435
105,lk,localization_lk_Earmolds Week 2_3_24.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,7,2,0.13311186112638504,28.57608564248446,8.889507594552287,5.732068574108943,2.4135626398876138
106,lk,localization_lk_Earmolds Week 2_4_25.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,8,3,0.2085637672583676,25.364167082458685,8.225260471785013,4.927607489277779,2.0438864820151847
107,lk,localization_lk_Earmolds Week 2_5_26.01_nan,"Trialsequence, trials 132, remaining 132, current condition []",Earmolds Week 2,9,4,,,,,
108,lk,localization_lk_Earmolds Week 2_6_27.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,10,5,0.1885256401002407,28.424856268887496,8.248924461416534,7.900425996367509,3.5647523640657126
109,lk,localization_lk_Earmolds Week 1_27.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,10,6,0.5976915849798254,24.156716446819196,8.878566082874828,7.934803913743323,3.1329397376410837
110,lk,localization_lk_Ears Free_27.01,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,10,2,0.9234127867620023,9.151871954274577,3.481922788313128,7.682634050006787,1.4547147809764487
111,lk,localization_lk_Earmolds Week 2_7_01.02,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,15,6,0.2146071508069833,28.417651511890803,9.883271377515985,4.3611318681834454,1.4454215855158232
112,cs,localization_cs_ears_free_1_05.12_1,"Trialsequence, trials 135, remaining -1, current condition []",Ears Free,0,0,0.8302266953090827,8.752044629660064,3.482993156385069,6.0685565965938375,2.1418738801550106
113,cs,localization_cs_earmolds_05.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,0,0,0.3864534143966106,17.440457776827472,3.2336735247389723,6.264662850084132,1.6006466462272158
114,cs,localization_cs_earmolds_06.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,1,1,0.8588163706509603,14.704825842764906,6.9089140908238695,7.971385604296812,2.580264315697064
115,cs,localization_cs_earmolds_07.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,2,2,0.9510261679264406,17.211581392767357,5.992506351852716,7.233344282462012,2.419443890518101
116,cs,localization_cs_earmolds_08.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,3,3,0.8111629460970561,20.12375771979509,9.833009738165453,5.218879734117266,2.174352851866796
117,cs,localization_cs_earmolds_09.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,4,4,0.8413099462191265,15.489777389266076,7.193355370297733,4.945369192893558,1.7370525141820328
118,cs,localization_cs_earmolds_10.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,5,5,0.7492786820116971,18.90345000867027,8.228604044581717,5.462786085657175,2.154405876218136
119,cs,localization_cs_ears_free_2_10.12,"Trialsequence, trials 135, remaining -1, current condition []",Ears Free,5,1,0.8962267963710762,17.358164114949503,3.9176241881027876,3.250753672890579,1.2339341257770364
120,cs,localization_cs_earmolds_15.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 1,10,6,0.9088489932113226,18.706982253711985,5.788156715655651,10.33045887681004,2.623999242407576
121,cs,localization_cs_ears_free_3_15.12_nan,"Trialsequence, trials 132, remaining 132, current condition []",Ears Free,10,2,,,,,
122,lw,localization_lw_ears_free_05.12_1,"Trialsequence, trials 135, remaining -1, current condition []",Ears Free,0,0,0.9405583554652831,7.760636952637558,2.752418370146486,4.4240676130802505,1.4944762032632462
123,lw,localization_lw_earmolds_05.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,0,0,0.2846179514928225,23.858878760637545,5.349509359018628,5.071476813904973,2.249370319152839
124,lw,localization_lw_earmolds_06.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,1,1,0.46653433665964344,22.683527648568056,8.329430266192265,5.108049619523871,2.0301491485253638
125,lw,localization_lw_earmolds_07.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,2,2,0.6767768371204534,16.705048479801153,6.73426631265749,4.996714255394878,1.9561775509227026
126,lw,localization_lw_earmolds_08.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,3,3,0.7103015001446836,17.120693284810823,7.634166856763051,5.062556160597781,2.060324796614866
127,lw,localization_lw_earmolds_09.12,"Trialsequence, trials 135, remaining -1, current condition []",Earmolds Week 1,4,4,0.8988558642811245,20.35880162842782,7.751056036941655,6.554473287370281,2.427311856639983
128,lw,localization_lw_earmolds_10.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 1,5,5,0.8839508180340131,20.510342639022838,8.828970424923668,5.636639277995483,2.947638376055893
129,lw,localization_lw_ears_free_10.12,"Trialsequence, trials 135, remaining 0, current condition 134",Ears Free,5,1,1.052730437480079,10.30092863345054,4.602294754694983,53.23563119506518,10.100267804825252
130,lw,localization_lw_earmolds_1_10.12_1,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,5,0,0.5957158391568397,20.959895434388216,6.065553155975674,7.736300991561304,3.632845602096603
131,lw,localization_lw_earmolds_1_11.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,6,1,0.8300465544270145,20.9605046677368,6.795479057705183,5.355875811102135,2.142982517966983
132,lw,localization_lw_earmolds_1_12.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,7,2,0.9033512023826439,17.920971899333743,6.354267444433489,5.286384978884934,1.9585728511873142
133,lw,localization_lw_earmolds_1_13.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,8,3,0.86723937611315,21.105497017441166,7.444055774478833,7.5440884164104665,2.5648757201926538
134,lw,localization_lw_earmolds_1_14.12_1,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,9,4,0.6481686037831837,23.847647876780236,6.600711741661715,6.65300214721196,3.1262243060372756
135,lw,localization_lw_earmolds_1_15.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,10,5,0.7643842717660799,22.05146516809247,5.130470707065512,7.118468716963156,1.9852402809144374
136,lw,localization_lw_earmolds_15.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 1,10,6,0.4155155686534114,27.938721026767855,10.464996969816946,7.739097622775801,2.3736351862779697
137,lw,localization_lw_ears_free_15.12,"Trialsequence, trials 135, remaining 0, current condition 134",Ears Free,10,2,0.7888908295878937,18.120256488082696,7.376537505878351,7.47461600795747,2.5001437259015673
138,lw,localization_lw_earmolds_1_20.12,"Trialsequence, trials 135, remaining 0, current condition 134",Earmolds Week 2,15,6,0.8561312094767887,15.369481429093508,7.929745074187741,12.14258700979896,4.334869486985244
139,tk,localization_tk_Ears Free_16.01,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,0,0,0.9110514071941375,9.329810320567729,3.3207803593616716,6.750433126444464,1.9319678143019685
140,tk,localization_tk_Earmolds Week 1_16.01_1,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,0,0,0.19149090804192756,32.006201517344664,7.6991828341072255,5.860959799517072,2.670207735895534
141,tk,localization_tk_Earmolds Week 1_17.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,1,1,0.5447105392588508,18.95984166004154,5.147798724086454,5.588502913266192,2.3724455421336264
142,tk,localization_tk_Earmolds Week 1_18.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,2,2,0.297351619118452,27.717193372836203,6.691836207570429,7.868157478948273,2.76904598612234
143,tk,localization_tk_Earmolds Week 1_19.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,3,3,0.4599544583256873,23.304084188019132,8.264468664417434,5.722839173499183,2.378152257070878
144,tk,localization_tk_Earmolds Week 1_20.01_1,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,4,4,0.705840527049452,20.911500712702868,7.7746891642563165,7.049287957250761,2.6970600692531224
145,tk,localization_tk_Earmolds Week 1_21.01_1,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,5,5,0.6942934412707885,17.458174831444598,6.552746504036475,6.083476734613299,1.8932836618101325
146,tk,localization_tk_Ears Free_21.01,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,5,1,0.9568863451912171,13.022669573528558,3.728352529923024,4.676870878205278,1.849260341486229
147,tk,localization_tk_Earmolds Week 2_21.01_3,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,5,0,0.2539037413671612,23.2559603683368,5.188881400453462,3.299394206122466,1.9165053941281018
148,tk,localization_tk_Earmolds Week 2_22.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,6,1,0.5534657363125018,17.942569165840005,6.145509164391563,5.593338431945471,1.951007809036262
149,tk,localization_tk_Earmolds Week 2_23.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,7,2,0.41729258340679937,20.430467213583263,5.319157237863809,4.281863796268737,1.7544111273720047
150,tk,localization_tk_Earmolds Week 2_24.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,8,3,0.33629196718136467,21.835231775006324,6.039355613974157,4.152078695013772,2.122814594142417
151,tk,localization_tk_Earmolds Week 2_25.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,9,4,0.4782184585664006,20.148458919795356,5.923556898868708,5.689575943284868,2.3465750744552043
152,tk,localization_tk_Earmolds Week 2_26.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,10,5,0.6676382001891731,18.166105889396903,5.867802034983384,4.160163078550086,2.086832674279717
153,tk,localization_tk_Earmolds Week 1_26.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,10,6,0.576655253073573,18.8733664554519,5.466455999315415,5.503838283002816,1.9298998988663625
154,tk,localization_tk_Ears Free_26.01,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,10,2,1.0736455646292202,11.46490123364778,3.24184931225048,5.60515963307559,1.622820951295556
155,tk,localization_tk_Earmolds Week 2_31.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,15,6,0.38743298105233254,25.888750926966903,9.353163421713608,5.352884362229125,3.140440037354895
156,vk,localization_vk_Ears Free_12.01_1,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,0,0,0.9797814885715643,8.51751888010721,3.687999642755595,3.325575978357649,1.6483736225049908
157,vk,localization_vk_Earmolds Week 1_15.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,0,0,0.3173776822792158,21.227372646873143,6.732320504914162,5.069020784035771,2.1815622492841906
158,vk,localization_vk_Earmolds Week 1_16.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,1,1,0.38986008528007393,22.06746469229935,9.116995885446949,5.03292309709616,2.062071081564976
159,vk,localization_vk_Earmolds Week 1_17.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,2,2,0.5366742605621616,21.56674778945797,8.692014245731388,4.4992270166090345,1.6328096829973284
160,vk,localization_vk_Earmolds Week 1_18.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,3,3,0.4556299962636496,22.172526827107557,7.086858761211033,9.868460705930703,4.105208677702457
161,vk,localization_vk_Earmolds Week 1_19.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,4,4,0.5988853487365775,19.266627784810503,7.8822228464777915,6.283878127808352,2.477253110970341
162,vk,localization_vk_Earmolds Week 1_20.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,5,5,0.7701895051779846,18.01258954364928,10.55095406469915,9.487701776536493,3.9618580292808034
163,vk,localization_vk_Ears Free_20.01,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,5,1,1.0410018270939587,9.956973243992257,3.656392535292739,6.719577010750541,2.176337136735906
164,vk,localization_vk_Earmolds Week 2_20.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,5,0,0.42877601217014916,22.64355075496741,9.181262956042183,5.589167171697091,2.610752613221529
165,vk,localization_vk_Earmolds Week 2_21.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,6,1,0.4768343675264053,22.02669205770685,9.224664458324627,4.546259544226882,2.6211309544972488
166,vk,localization_vk_Earmolds Week 2_22.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,7,2,0.3625078280472094,26.187539127694993,13.30739729659893,5.961450199498078,2.8004850136421093
167,vk,localization_vk_Earmolds Week 2_23.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,8,3,0.45432069605853825,23.757978128590317,8.35980404546811,10.101441507166973,3.9156530961545513
168,vk,localization_vk_Earmolds Week 2_24.01_1,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,9,4,0.49001448983748747,22.47929936733495,10.821771842707003,6.185352997877184,2.9441547694863215
169,vk,localization_vk_Earmolds Week 2_25.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,10,5,0.5046815104166666,25.79347474692426,13.519881153029878,6.931077066933937,3.4981966597161875
170,vk,localization_vk_Earmolds Week 1_25.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,10,6,0.4884788339402939,24.32731730106479,13.364899304390878,5.519155799604636,2.82413521636601
171,vk,localization_vk_Ears Free_25.01,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,10,2,1.0761647984087466,10.856049561294018,4.2750784545949765,5.240245603209187,1.9093447185153736
172,vk,localization_vk_Earmolds Week 2_30.01,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,15,6,0.3688617255096633,24.043622306714354,8.601566526738562,6.297763453945718,2.5994501262227767
173,svm,localization_svm_Ears Free_12.06_1,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,0,0,0.8355568412714532,8.923596052339441,3.7966346875814185,6.460158011898993,3.0990999413609517
174,svm,localization_svm_Earmolds Week 1_12.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,0,0,0.27943497729318,18.341136967323223,2.7881205617402482,5.432802662205764,2.6091845751640026
175,svm,localization_svm_Earmolds Week 1_13.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,1,1,0.6130648212641475,15.481036284261414,3.825448261639229,6.1756493524684375,2.396468683781038
176,svm,localization_svm_Earmolds Week 1_14.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,2,2,0.6496504641923637,16.269720806616192,5.639404787943737,5.118052642608817,2.2971949234309847
177,svm,localization_svm_Earmolds Week 1_15.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,3,3,0.5972888431397992,19.701112611041683,7.785962384497514,5.491033033730422,2.1122072512016796
178,svm,localization_svm_Earmolds Week 1_16.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,4,4,0.8814278892361453,12.11367179974794,5.292734984304622,5.200855193442911,2.1138421718559797
179,svm,localization_svm_Earmolds Week 1_17.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,5,5,0.49609070918129555,16.80848214350513,5.779749278310578,6.222201388425879,2.7359572187029206
180,svm,localization_svm_Ears Free_17.06,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,5,1,0.8257562061477866,12.869312293422292,4.400549064904819,5.264324924352893,2.0632048835939214
181,svm,localization_svm_Earmolds Week 2_17.06_1,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,5,0,0.365010686125689,21.35765902762054,5.703607262904455,6.024524549043006,3.021980444129771
182,svm,localization_svm_Earmolds Week 2_18.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,6,1,0.488561782191197,19.805862389951127,7.446226912206313,6.187001448171329,2.6446264037259124
183,svm,localization_svm_Earmolds Week 2_19.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,7,2,0.5958559188197058,17.191910307170474,6.713256359716309,4.9914543846829895,2.818253346752791
184,svm,localization_svm_Earmolds Week 2_20.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,8,3,0.5393575026926481,21.894322056364064,5.117712812284139,5.206420206193457,2.3979738753066715
185,svm,localization_svm_Earmolds Week 2_21.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,9,4,0.4825686674248633,20.129680602450843,5.945506233307464,4.873093363000732,2.3784935408371513
186,svm,localization_svm_Earmolds Week 2_22.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,10,5,0.5308901636517709,18.968372565850757,7.933616640091565,10.5786937229952,3.873687341500664
187,svm,localization_svm_Earmolds Week 1_22.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,10,6,0.7101160388587249,17.4760080336059,6.140946853318155,5.3682361017074465,2.4323384421467575
188,svm,localization_svm_Ears Free_22.06,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,10,2,0.9333939956625301,14.792966441461802,4.078286438187717,6.7433446411724285,2.2625538319601244
189,svm,localization_svm_Earmolds Week 2_27.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,15,6,0.4347599115504158,21.176209894280404,5.737619065201854,3.9602395927616776,2.239244615710589
190,jl,localization_jl_Ears Free_06.06_1,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,0,0,0.8507226064127353,6.12963611425936,2.7482111109474667,7.598209633434388,3.1878482628632323
191,jl,localization_jl_Earmolds Week 1_06.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,0,0,0.2532250160197417,20.360175304831664,3.49839403229515,6.761193654293649,2.6120992338074016
192,jl,localization_jl_Earmolds Week 1_07.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,1,1,0.46466865519748796,19.562415919956205,6.248937068515669,4.6753599888227715,2.3053089184150966
193,jl,localization_jl_Earmolds Week 1_08.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,2,2,0.26799090890884397,25.515293337629615,6.733817949308324,5.624505512649002,2.362124580991846
194,jl,localization_jl_Earmolds Week 1_09.06_nan,"Trialsequence, trials 132, remaining 132, current condition []",Earmolds Week 1,3,3,,,,,
195,jl,localization_jl_Earmolds Week 1_10.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,4,4,0.39091694314479813,21.2817739868314,6.646713771357496,5.3023397852783,2.202138677164647
196,jl,localization_jl_Earmolds Week 1_12.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,5,5,0.6505156600962082,16.83062289231962,5.6292729690793335,5.369101950083021,2.1500551063465747
197,jl,localization_jl_Ears Free_13.06,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,5,1,1.0456033507180054,5.877698260182718,2.4682500819494586,4.797779699514905,1.895935598684732
198,jl,localization_jl_Earmolds Week 2_13.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,5,0,0.27470973537754684,23.546683283954007,4.53086685912147,5.681537071118106,1.9877539723800373
199,jl,localization_jl_Earmolds Week 2_14.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,6,1,0.5296106566619541,19.791247271738236,4.812958214602239,5.234621530769344,1.7847388159807658
200,jl,localization_jl_Earmolds Week 2_15.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,7,2,0.25284987258050173,24.77123210754419,6.807095094041025,2.9584721607133284,1.430344017287446
201,jl,localization_jl_Earmolds Week 2_16.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,8,3,0.5631851117721861,17.88454672936592,5.992193686822722,3.584681556203066,1.4732050822021003
202,jl,localization_jl_Earmolds Week 2_17.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,9,4,0.6383246347102852,17.423245466761188,5.185161746504622,4.465004989834281,1.6467762035578133
203,jl,localization_jl_Earmolds Week 2_18.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,10,5,0.6994903965401981,14.796015169811247,5.333521693702702,4.193815378280883,1.7842401855474264
204,jl,localization_jl_Earmolds Week 1_18.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 1,10,6,0.6375672918597857,14.96905065311434,4.582977480637099,3.425225879691679,1.6838194593304365
205,jl,localization_jl_Ears Free_18.06,"Trialsequence, trials 132, remaining 0, current condition 131",Ears Free,10,2,1.1080792251487572,6.956840035268186,2.9314614225278883,3.952603812311167,1.6206802933475084
206,jl,localization_jl_Earmolds Week 2_23.06,"Trialsequence, trials 132, remaining 0, current condition 131",Earmolds Week 2,15,6,0.587767627286911,16.162846826336985,3.819964060879681,6.162383204261597,2.3411398169091275
